district,candidate,party,total_votes,won
New York’s 1st district,Nancy Goroff,DEM,111203,False
New York’s 1st district, Write-ins,WRI,65,False
New York’s 2nd district,Andrew Garbarino,REP,164367,True
New York’s 2nd district,Jackie Gordon,DEM,124153,False
New York’s 2nd district,Harry Burger,GRN,2772,False
New York’s 2nd district, Write-ins,WRI,30,False
New York’s 3rd district,Thomas Suozzi,DEM,172120,True
New York’s 3rd district,George Santos,REP,149692,False
New York’s 3rd district,Howard Rabin,LIB,1834,False
New York’s 3rd district, Write-ins,WRI,80,False
New York’s 4th district,Kathleen Rice,DEM,199012,True
New York’s 4th district,Douglas Tuman,REP,152573,False
New York’s 4th district,Joseph Naham,GRN,3010,False
New York’s 4th district, Write-ins,WRI,119,False
New York’s 5th district,Gregory Meeks,DEM,187590,True
New York’s 5th district, Write-ins,WRI,113,False
New York’s 6th district,Grace Meng,DEM,106131,True
New York’s 6th district,Thomas Zmich,REP,63324,False
New York’s 7th district,Nydia Velazquez,DEM,142815,True
New York’s 7th district,Brian Kelly,REP,27907,False
New York’s 7th district,Gilbert Midonnet,LIB,1158,False
New York’s 8th district,Hakeem Jeffries,DEM,175140,True
New York’s 8th district,Garfield Wallace,REP,36873,False
New York’s 9th district,Yvette Clarke,DEM,170898,True
New York’s 9th district,Constantin Jean-Pierre,REP,36847,False
New York’s 9th district,Gary Popkin,LIB,1221,False
New York’s 9th district,Joel Anabilah-Azumah,SAM,726,False
New York’s 10th district,Jerrold Nadler,DEM,120273,True
New York’s 10th district,Cathy Bernstein,REP,52842,False
New York’s 10th district,Michael Madrid,LIB,2156,False
New York’s 11th district,Nicole Malliotakis,REP,136382,True
New York’s 11th district,Max Rose,DEM,99224,False
New York’s 12th district,Carolyn Maloney,DEM,153815,True
New York’s 12th district,Carlos Santiago-Cano,REP,37973,False
New York’s 12th district,Steven Kolln,LIB,2732,False
New York’s 13th district,Adriano Espaillat,DEM,179589,True
New York’s 13th district,Lovelynn Gwinn,REP,16787,False
New York’s 13th district,Christopher Morris-Perry,CON,2747,False
New York’s 14th district,Alexandria Ocasio-Cortez,DEM,105455,True
New York’s 14th district,John Cummings,REP,46877,False
New York’s 14th district,Michelle Caruso-Cabrera,SAM,1042,False
New York’s 15th district,Ritchie Torres,DEM,136471,True
New York’s 15th district,Patrick Delices,REP,18198,False
New York’s 16th district,Jamaal Bowman,DEM,161730,True
New York’s 16th district,Patrick Mcmanus,CON,33608,False
New York’s 17th district,Mondaire Jones,DEM,136185,True
New York’s 17th district,Maureen McArdle Schulman,REP,100237,False
New York’s 17th district,Yehudis Gottesfeld,CON,7139,False
New York’s 17th district,Josh Eisen,ECL,5765,False
New York’s 17th district,Michael Parietti,SAM,2156,False
New York’s 17th district, Write-ins,WRI,172,False
New York’s 18th district,Sean Maloney,DEM,143488,True
New York’s 18th district,Chele Farley,REP,131095,False
New York’s 18th district,Scott Smith,LIB,2539,False
New York’s 18th district, Write-ins,WRI,37,False
New York’s 19th district,Antonio Delgado,DEM,155516,True
New York’s 19th district,Kyle Van De Water,REP,138568,False
New York’s 19th district,Victoria Alexander,LIB,3634,False
New York’s 19th district,Steven Greenfield,GRN,2210,False
New York’s 19th district, Write-ins,WRI,1826,False
New York’s 20th district,Paul Tonko,DEM,168909,True
New York’s 20th district,Elizabeth Joy,REP,125991,False
New York’s 20th district, Write-ins,WRI,111,False
New York’s 21st district,Elise Stefanik,REP,170267,True
New York’s 21st district,Tedra Cobb,DEM,97721,False
New York’s 21st district, Write-ins,WRI,35,False
New York’s 22nd district,Claudia Tenney,REP,149769,True
New York’s 22nd district,Anthony Brindisi,DEM,140644,False
New York’s 22nd district,Keith Price,LIB,6414,False
New York’s 22nd district, Write-ins,WRI,129,False
New York’s 23rd district,Tom Reed,REP,170072,True
New York’s 23rd district,Tracy Mitrano,DEM,105320,False
New York’s 23rd district,Andrew Kolstee,LIB,3187,False
New York’s 23rd district, Write-ins,WRI,86,False
New York’s 24th district,John Katko,REP,181084,True
New York’s 24th district,Dana Balter,DEM,122763,False
New York’s 24th district,Steven Williams,WFL,11576,False
New York’s 24th district, Write-ins,WRI,142,False
New York’s 25th district,Joseph Morelle,DEM,204759,True
New York’s 25th district,George Mitris,REP,135776,False
New York’s 25th district,Kevin Wilson,LIB,5288,False
New York’s 25th district, Write-ins,WRI,176,False
New York’s 26th district,Brian Higgins,DEM,170259,True
New York’s 26th district,Ricky Donovan,REP,82301,False
New York’s 26th district,Mike Raleigh,GRN,3542,False
New York’s 27th district,Chris Jacobs,REP,211136,True
New York’s 27th district,Nate McMurray,DEM,117883,False
New York’s 27th district,Duane Whitmer,LIB,4327,False
New York’s 27th district, Write-ins,WRI,20,False
North Carolina’s 1st district,G.K. Butterfield,DEM,188870,True
North Carolina’s 1st district,Sandy Smith,REP,159748,False
North Carolina’s 2nd district,Deborah Ross,DEM,311887,True
North Carolina’s 2nd district,Alan Swain,REP,172544,False
North Carolina’s 2nd district,Jeff Matemu,LIB,10913,False
North Carolina’s 3rd district,Greg Murphy,REP,229800,True
North Carolina’s 3rd district,Darryl Farrow,DEM,132752,False
North Carolina’s 4th district,David Price,DEM,332424,True
North Carolina’s 4th district,Robert Thomas,REP,161301,False
North Carolina’s 5th district,Virginia Foxx,REP,257842,True
North Carolina’s 5th district,David Brown,DEM,119845,False
North Carolina’s 5th district,Jeff Gregory,CST,7555,False
North Carolina’s 6th district,Kathy Manning,DEM,253530,True
North Carolina’s 6th district,Lee Haywood,REP,153597,False
North Carolina’s 7th district,David Rouzer,REP,272448,True
North Carolina’s 7th district,Christopher Ward,DEM,179053,False
North Carolina’s 8th district,Richard Hudson,REP,202774,True
North Carolina’s 8th district,Patricia Timmons-Goodson,DEM,177781,False
North Carolina’s 9th district,Dan Bishop,REP,223022,True
North Carolina’s 9th district,Cynthia Wallace,DEM,178508,False
North Carolina’s 10th district,Patrick McHenry,REP,284019,True
North Carolina’s 10th district,David Parker,DEM,128146,False
North Carolina’s 11th district,Madison Cawthorn,REP,245350,True
North Carolina’s 11th district,Moe Davis,DEM,190609,False
North Carolina’s 11th district,Tracey Debruhl,LIB,8682,False
North Carolina’s 11th district,Tamara Zwinak,GRN,5503,False
North Carolina’s 12th district,Alma Adams,DEM,341457,True
North Carolina’s 13th district,Ted Budd,REP,267181,True
North Carolina’s 13th district,Scott Huffman,DEM,124684,False
North Dakota at large,Kelly Armstrong,REP,245229,True
North Dakota at large,Zach Raknerud,DEM,97970,False
North Dakota at large,Steven Peterson,LIB,12024,False
Ohio’s 1st district,Steve Chabot,REP,199560,True
Ohio’s 1st district,Kate Schroder,DEM,172022,False
Ohio’s 1st district,Kevin Kahn,LIB,13692,False
Ohio’s 1st district, Write-ins,WRI,68,False
Ohio’s 2nd district,Brad Wenstrup,REP,230430,True
Ohio’s 2nd district,Jaime Castle,DEM,146781,False
Ohio’s 2nd district, Write-ins,WRI,114,False
Ohio’s 3rd district,Joyce Beatty,DEM,227420,True
Ohio’s 3rd district,Mark Richardson,REP,93569,False
Ohio’s 3rd district, Write-ins,WRI,534,False
Ohio’s 4th district,Jim Jordan,REP,234711,True
Ohio’s 4th district,Shannon Freshour,DEM,101595,False
Ohio’s 4th district,Steve Perkins,LIB,9790,False
Ohio’s 5th district,Bob Latta,REP,256408,True
Ohio’s 5th district,Nick Rubando,DEM,120801,False
Ohio’s 6th district,Bill Johnson,REP,248127,True
Ohio’s 6th district,Shawna Roberts,DEM,85368,False
Ohio’s 7th district,Bob Gibbs,REP,236607,True
Ohio’s 7th district,Quentin Potter,DEM,102271,False
Ohio’s 7th district,Brandon Lape,LIB,11671,False
Ohio’s 8th district,Warren Davidson,REP,246177,True
Ohio’s 8th district,Vanessa Enoch,DEM,110757,False
Ohio’s 8th district, Write-ins,WRI,130,False
Ohio’s 9th district,Marcy Kaptur,DEM,190328,True
Ohio’s 9th district,Rob Weber,REP,111385,False
Ohio’s 9th district, Write-ins,WRI,246,False
Ohio’s 10th district,Mike Turner,REP,212972,True
Ohio’s 10th district,Desiree Tims,DEM,151976,False
Ohio’s 11th district,Marcia Fudge,DEM,242098,True
Ohio’s 11th district,Laverne Gore,REP,60323,False
Ohio’s 12th district,Troy Balderson,REP,241790,True
Ohio’s 12th district,Alaina Shearer,DEM,182847,False
Ohio’s 12th district,John Stewart,LIB,13035,False
Ohio’s 13th district,Tim Ryan,DEM,173631,True
Ohio’s 13th district,Christina Hagan,REP,148648,False
Ohio’s 13th district,Michael Fricke,LIB,8522,False
Ohio’s 14th district,David Joyce,REP,238618,True
Ohio’s 14th district,Hillary O'Connor Mueri,DEM,158465,False
Ohio’s 15th district,Steve Stivers,REP,241925,True
Ohio’s 15th district,Joel Newby,DEM,139678,False
Ohio’s 15th district, Write-ins,WRI,227,False
Ohio’s 16th district,Anthony Gonzalez,REP,247295,True
Ohio’s 16th district,Aaron Godfrey,DEM,149667,False
Oklahoma’s 1st district,Kevin Hern,REP,213700,True
Oklahoma’s 1st district,Kojo Asamoa-Caesar,DEM,109641,False
Oklahoma’s 1st district,Evelyn Rogers,IND,12130,False
Oklahoma’s 2nd district,Markwayne Mullin,REP,216511,True
Oklahoma’s 2nd district,Danyell Lanier,DEM,63472,False
Oklahoma’s 2nd district,Richard Castaldo,LIB,8544,False
Oklahoma’s 3rd district,Frank Lucas,REP,242677,True
Oklahoma’s 3rd district,Zoe Midyett,DEM,66501,False
Oklahoma’s 4th district,Tom Cole,REP,213096,True
Oklahoma’s 4th district,Mary Brannon,DEM,90459,False
Oklahoma’s 4th district,Bob White,LIB,10803,False
Oklahoma’s 5th district,Stephanie Bice,REP,158191,True
Oklahoma’s 5th district,Kendra Horn,DEM,145658,False
Oregon’s 1st district,Suzanne Bonamici,DEM,297071,True
Oregon’s 1st district,Christopher Christensen,REP,161928,False
Oregon’s 2nd district,Cliff Bentz,REP,273535,True
Oregon’s 2nd district,Alex Spenser,DEM,168673,False
Oregon’s 2nd district,Robert Werch,LIB,14066,False
Oregon’s 3rd district,Earl Blumenauer,DEM,343568,True
Oregon’s 3rd district,Joanna Harbour,REP,110557,False
Oregon’s 3rd district,Alex DiBlasi,GRN,8872,False
Oregon’s 3rd district,Josh Solomon,LIB,6868,False
Oregon’s 4th district,Peter DeFazio,DEM,246969,True
Oregon’s 4th district,Alek Skarlatos,REP,224394,False
Oregon’s 4th district,Daniel Hoffay,PAG,10444,False
Oregon’s 5th district,Kurt Schrader,DEM,234803,True
Oregon’s 5th district,Amy Ryan Courser,REP,204282,False
Oregon’s 5th district,Matthew Rix,LIB,12626,False
Pennsylvania’s 1st district,Brian Fitzpatrick,REP,249804,True
Pennsylvania’s 1st district,Christina Finello,DEM,191875,False
Pennsylvania’s 2nd district,Brendan Boyle,DEM,198268,True
Pennsylvania’s 2nd district,David Torres,REP,75083,False
Pennsylvania’s 3rd district,Dwight Evans,DEM,341922,True
Pennsylvania’s 3rd district,Michael Harvey,REP,33728,False
Pennsylvania’s 4th district,Madeleine Dean,DEM,264638,True
Pennsylvania’s 4th district,Kathy Barnette,REP,179926,False
Pennsylvania’s 5th district,Mary Gay Scanlon,DEM,256021,True
Pennsylvania’s 5th district,Dasha Pruett,REP,139686,False
Pennsylvania’s 6th district,Chrissy Houlahan,DEM,225299,True
Pennsylvania’s 6th district,John Emmons,REP,176610,False
Pennsylvania’s 7th district,Susan Wild,DEM,195754,True
Pennsylvania’s 7th district,Lisa Scheller,REP,181667,False
Pennsylvania’s 8th district,Matt Cartwright,DEM,178331,True
Pennsylvania’s 8th district,Jim Bognet,REP,166174,False
Pennsylvania’s 9th district,Daniel Meuser,REP,232722,True
Pennsylvania’s 9th district,Gary Wegman,DEM,118088,False
Pennsylvania’s 10th district,Scott Perry,REP,208895,True
Pennsylvania’s 10th district,Eugene DePasquale,DEM,182935,False
Pennsylvania’s 11th district,Lloyd Smucker,REP,241912,True
Pennsylvania’s 11th district,Sarah Hammond,DEM,141325,False
Pennsylvania’s 12th district,Fred Keller,REP,240739,True
Pennsylvania’s 12th district,Lee Griffin,DEM,99069,False
Pennsylvania’s 13th district,John Joyce,REP,267546,True
Pennsylvania’s 13th district,Todd Rowley,DEM,96601,False
Pennsylvania’s 14th district,Guy Reschenthaler,REP,240350,True
Pennsylvania’s 14th district,William Marx,DEM,131064,False
Pennsylvania’s 15th district,Glenn Thompson,REP,254819,True
Pennsylvania’s 15th district,Robert Williams,DEM,92039,False
Pennsylvania’s 16th district,Mike Kelly,REP,210066,True
Pennsylvania’s 16th district,Kristy Gnibus,DEM,143904,False
Pennsylvania’s 17th district,Conor Lamb,DEM,221156,True
Pennsylvania’s 17th district,Sean Parnell,REP,211306,False
Pennsylvania’s 18th district,Mike Doyle,DEM,265075,True
Pennsylvania’s 18th district,Luke Negron,REP,117941,False
Rhode Island’s 1st district,David Cicilline,DEM,157854,True
Rhode Island’s 1st district,Frederick Wysocki,IND,35427,False
Rhode Island’s 1st district,Jeffrey Lemire,IND,28280,False
Rhode Island’s 2nd district,Jim Langevin,DEM,153607,True
Rhode Island’s 2nd district,Robert Lancia,REP,109855,False
South Carolina’s 1st district,Nancy Mace,REP,216042,True
South Carolina’s 1st district,Joe Cunningham,DEM,210627,False
South Carolina’s 2nd district,Joe Wilson,REP,202715,True
South Carolina’s 2nd district,Adair Boroughs,DEM,155118,False
South Carolina’s 2nd district,Kathleen Wright,CST,6163,False
South Carolina’s 3rd district,Jeff Duncan,REP,237544,True
South Carolina’s 3rd district,Hosea Cleveland,DEM,95712,False
South Carolina’s 4th district,William Timmons,REP,222126,True
South Carolina’s 4th district,Kim Nelson,DEM,133023,False
South Carolina’s 4th district,Michael Chandler,CST,5090,False
South Carolina’s 5th district,Ralph Norman,REP,220005,True
South Carolina’s 5th district,Moe Brown,DEM,145958,False
South Carolina’s 6th district,Jim Clyburn,DEM,197477,True
South Carolina’s 6th district,John McCollum,REP,89258,False
South Carolina’s 6th district,Mark Hackett,CST,2646,False
South Carolina’s 7th district,Tom Rice,REP,224993,True
South Carolina’s 7th district,Melissa Watson,DEM,138863,False
South Dakota at large,Dusty Johnson,REP,321984,True
South Dakota at large,Randy Luallin,LIB,75748,False
Tennessee’s 1st district,Diana Harshbarger,REP,227838,True
Tennessee’s 1st district,Blair Walsingham,DEM,68211,False
Tennessee’s 1st district,Steve Holder,IND,8602,False
Tennessee’s 2nd district,Tim Burchett,REP,238447,True
Tennessee’s 2nd district,Renee Hoyos,DEM,109298,False
Tennessee’s 2nd district,Matthew Campbell,IND,4574,False
Tennessee’s 3rd district,Chuck Fleischmann,REP,215318,True
Tennessee’s 3rd district,Meg Gorman,DEM,97510,False
Tennessee’s 3rd district,Amber Hysell,IND,5034,False
Tennessee’s 3rd district,Keith Sweitzer,IND,1988,False
Tennessee’s 4th district,Scott DesJarlais,REP,223200,True
Tennessee’s 4th district,Christopher Hale,DEM,111238,False
Tennessee’s 5th district,Jim Cooper,DEM,250001,True
Tennessee’s 6th district,John Rose,REP,257219,True
Tennessee’s 6th district,Christopher Finley,DEM,83694,False
Tennessee’s 6th district,Christopher Monday,IND,8139,False
Tennessee’s 7th district,Mark Green,REP,244623,True
Tennessee’s 7th district,Kiran Sreepada,DEM,95743,False
Tennessee’s 7th district,Ronald Brown,IND,7588,False
Tennessee’s 7th district,Scott Vieira,IND,1998,False
Tennessee’s 8th district,David Kustoff,REP,226949,True
Tennessee’s 8th district,Erika Pearson,DEM,97561,False
Tennessee’s 8th district,James Hart,IND,3758,False
Tennessee’s 8th district,Jon Dillard,IND,2983,False
Tennessee’s 9th district,Steve Cohen,DEM,187258,True
Tennessee’s 9th district,Charlotte Bergmann,REP,48688,False
Tennessee’s 9th district,Dennis Clark,IND,3947,False
Tennessee’s 9th district,Bobby Lyons,IND,2189,False
Texas’s 1st district,Louie Gohmert,REP,219726,True
Texas’s 1st district,Hank Gilbert,DEM,83016,False
Texas’s 2nd district,Dan Crenshaw,REP,197300,True
Texas’s 2nd district,Sima Ladjevardian,DEM,148727,False
Texas’s 2nd district,Elliott Scheirman,LIB,5582,False
Texas’s 2nd district,Tommy Wakely,GRN,0,False
Texas’s 3rd district,Van Taylor,REP,230512,True
Texas’s 3rd district,Lulu Seikaly,DEM,179458,False
Texas’s 3rd district,Christopher Claytor,LIB,8621,False
Texas’s 4th district,Pat Fallon,REP,255598,True
Texas’s 4th district,Russell Foster,DEM,77651,False
Texas’s 4th district,Lou Antonelli,LIB,6351,False
Texas’s 4th district, Write-ins,WRI,1261,False
Texas’s 5th district,Lance Gooden,REP,173836,True
Texas’s 5th district,Carolyn Salter,DEM,100743,False
Texas’s 5th district,Kevin Hale,LIB,5834,False
Texas’s 6th district,Ron Wright,REP,179507,True
Texas’s 6th district,Stephen Daniel,DEM,149530,False
Texas’s 6th district,Melanie Black,LIB,10955,False
Texas’s 7th district,Lizzie Fletcher,DEM,159529,True
Texas’s 7th district,Wesley Hunt,REP,149054,False
Texas’s 7th district,Shawn Kelly,LIB,5542,False
Texas’s 8th district,Kevin Brady,REP,277327,True
Texas’s 8th district,Elizabeth Hernandez,DEM,97409,False
Texas’s 8th district,Chris Duncan,LIB,7735,False
Texas’s 9th district,Al Green,DEM,172938,True
Texas’s 9th district,Johnny Teague,REP,49575,False
Texas’s 9th district,Jose Sosa,LIB,6594,False
Texas’s 10th district,Michael McCaul,REP,217216,True
Texas’s 10th district,Mike Siegel,DEM,187686,False
Texas’s 10th district,Roy Eriksen,LIB,8992,False
Texas’s 11th district,August Pfluger,REP,232372,True
Texas’s 11th district,Jon Mark Hogg,DEM,53399,False
Texas’s 11th district,Wacey Cody,LIB,5801,False
Texas’s 12th district,Kay Granger,REP,233853,True
Texas’s 12th district,Lisa Welch,DEM,121250,False
Texas’s 12th district,Trey Holcomb,LIB,11918,False
Texas’s 13th district,Ronny Jackson,REP,220566,True
Texas’s 13th district,Gus Trujillo,DEM,47777,False
Texas’s 13th district,Jack Westbrook,LIB,5607,False
Texas’s 14th district,Randy Weber,REP,190541,True
Texas’s 14th district,Adrienne Bell,DEM,118574,False
Texas’s 15th district,Vicente Gonzalez,DEM,115605,True
Texas’s 15th district,Monica De La Cruz-Hernandez,REP,109017,False
Texas’s 15th district,Ross Leone,LIB,4295,False
Texas’s 16th district,Veronica Escobar,DEM,154108,True
Texas’s 16th district,Irene Armendariz-Jackson,REP,84006,False
Texas’s 17th district,Pete Sessions,REP,171390,True
Texas’s 17th district,Rick Kennedy,DEM,125565,False
Texas’s 17th district,Ted Brown,LIB,9918,False
Texas’s 18th district,Sheila Jackson Lee,DEM,180952,True
Texas’s 18th district,Wendell Champion,REP,58033,False
Texas’s 18th district,Luke Spencer,LIB,4514,False
Texas’s 18th district,Vince Duncan,IND,3396,False
Texas’s 19th district,Jodey Arrington,REP,198210,True
Texas’s 19th district,Tom Watson,DEM,60579,False
Texas’s 19th district,Joe Burnes,LIB,6271,False
Texas’s 20th district,Joaquin Castro,DEM,175078,True
Texas’s 20th district,Mauro Garza,REP,89628,False
Texas’s 20th district,Jeffrey Blunt,LIB,6017,False
Texas’s 21st district,Chip Roy,REP,235171,True
Texas’s 21st district,Wendy Davis,DEM,205319,False
Texas’s 21st district,Arthur DiBianca,LIB,8655,False
Texas’s 22nd district,Troy Nehls,REP,210259,True
Texas’s 22nd district,Sri Kulkarni,DEM,181998,False
Texas’s 22nd district,Joseph LeBlanc,LIB,15791,False
Texas’s 23rd district,Tony Gonzales,REP,149399,True
Texas’s 23rd district,Gina Ortiz Jones,DEM,137692,False
Texas’s 23rd district,Beto Villela,LIB,8369,False
Texas’s 24th district,Beth Van Duyne,REP,167910,True
Texas’s 24th district,Candace Valenzuela,DEM,163326,False
Texas’s 24th district,Darren Hamilton,LIB,5647,False
Texas’s 24th district,Stephen Kuzmich,IND,4229,False
Texas’s 24th district,Mark Bauer,IND,2909,False
Texas’s 25th district,Roger Williams,REP,220088,True
Texas’s 25th district,Julie Oliver,DEM,165697,False
Texas’s 25th district,Bill Kelsey,LIB,7738,False
Texas’s 26th district,Michael Burgess,REP,261963,True
Texas’s 26th district,Carol Iannuzzi,DEM,161009,False
Texas’s 26th district,Mark Boler,LIB,9243,False
Texas’s 27th district,Michael Cloud,REP,172305,True
Texas’s 27th district,Ricardo De La Fuente,DEM,95466,False
Texas’s 27th district,Phil Gray,LIB,5482,False
Texas’s 28th district,Henry Cuellar,DEM,137494,True
Texas’s 28th district,Sandra Whitten,REP,91925,False
Texas’s 28th district,Bekah Congdon,LIB,6425,False
Texas’s 29th district,Sylvia Garcia,DEM,111305,True
Texas’s 29th district,Jaimy Blanco,REP,42840,False
Texas’s 29th district,Phil Kurtz,LIB,2328,False
Texas’s 30th district,Eddie Bernice Johnson,DEM,204928,True
Texas’s 30th district,Tre Pennie,REP,48685,False
Texas’s 30th district,Eric Williams,IND,10851,False
Texas’s 31st district,John Carter,REP,212695,True
Texas’s 31st district,Donna Imam,DEM,176293,False
Texas’s 31st district,Clark Patterson,LIB,8922,False
Texas’s 31st district, Write-ins,WRI,177,False
Texas’s 32nd district,Colin Allred,DEM,178542,True
Texas’s 32nd district,Genevieve Collins,REP,157867,False
Texas’s 32nd district,Christy Mowrey Peterson,LIB,4946,False
Texas’s 32nd district,Jason Sigmon,IND,2332,False
Texas’s 33rd district,Marc Veasey,DEM,105317,True
Texas’s 33rd district,Fabian Vasquez,REP,39638,False
Texas’s 33rd district,Carlos Quintanilla,IND,8071,False
Texas’s 33rd district,Jason Reeves,LIB,2586,False
Texas’s 33rd district,Rene Welton,IND,1994,False
Texas’s 34th district,Filemon Vela,DEM,111470,True
Texas’s 34th district,Rey Gonzalez,REP,84155,False
Texas’s 34th district,Anthony Cristo,LIB,3224,False
Texas’s 34th district,Chris Royal,IND,2246,False
Texas’s 35th district,Lloyd Doggett,DEM,176373,True
Texas’s 35th district,Jenny Sharon,REP,80795,False
Texas’s 35th district,Mark Loewe,LIB,7393,False
Texas’s 35th district,Jason Mata,IND,5236,False
Texas’s 36th district,Brian Babin,REP,222703,True
Texas’s 36th district,Rashad Lewis,DEM,73419,False
Texas’s 36th district,Chad Abbey,LIB,4847,False
Texas’s 36th district,Hal Ridley,GRN,1571,False
Utah’s 1st district,Blake Moore,REP,237988,True
Utah’s 1st district,Darren Parry,DEM,104194,False
Utah’s 1st district, Write-ins,WRI,41,False
Utah’s 2nd district,Chris Stewart,REP,208997,True
Utah’s 2nd district,Kael Weston,DEM,129762,False
Utah’s 2nd district,Robert Latham,LIB,15465,False
Utah’s 3rd district,John Curtis,REP,246674,True
Utah’s 3rd district,Devin Thorpe,DEM,96067,False
Utah’s 3rd district,Daniel Cummings,CST,8889,False
Utah’s 3rd district,Thomas McNeill,UU,7040,False
Utah’s 4th district,Burgess Owens,REP,177170,True
Utah’s 4th district,Ben McAdams,DEM,175031,False
Utah’s 4th district,John Molnar,LIB,12851,False
Utah’s 4th district,Jonia Broderick,UU,7932,False
Utah’s 4th district, Write-ins,WRI,650,False
Vermont at large,Peter Welch,DEM,238827,True
Vermont at large,Miram Berry,REP,95830,False
Vermont at large,Peter Becker,IND,8065,False
Vermont at large,Marcia Horne,IND,4334,False
Vermont at large,Christopher Helali,COM,3432,False
Vermont at large,Shawn Orr,IND,1926,False
Vermont at large,Jerry Trudell,IND,1881,False
Vermont at large, Write-ins,WRI,544,False
Virginia’s 1st district,Rob Wittman,REP,260706,True
Virginia’s 1st district,Qasim Rashid,DEM,186927,False
Virginia’s 2nd district,Elaine Luria,DEM,184991,True
Virginia’s 2nd district,Scott Taylor,REP,164419,False
Virginia’s 2nd district,David Foster,IND,9144,False
Virginia’s 3rd district,Bobby Scott,DEM,233326,True
Virginia’s 3rd district,John Collick,REP,107299,False
Virginia’s 4th district,Donald McEachin,DEM,243353,True
Virginia’s 4th district,Leon Benjamin,REP,152744,False
Virginia’s 5th district,Bob Good,REP,211012,True
Virginia’s 5th district,Cameron Webb,DEM,190340,False
Virginia’s 6th district,Ben Cline,REP,246427,True
Virginia’s 6th district,Nicholas Betts,DEM,135022,False
Virginia’s 7th district,Abigail Spanberger,DEM,232995,True
Virginia’s 7th district,Nick Freitas,REP,224679,False
Virginia’s 8th district,Donald Beyer,DEM,301454,True
Virginia’s 8th district,Jeff Jordan,REP,95365,False
Virginia’s 9th district,Morgan Griffith,REP,271851,True
Virginia’s 10th district,Jennifer Wexton,DEM,268654,True
Virginia’s 10th district,Aliscia Andrews,REP,206336,False
Virginia’s 11th district,Gerry Connolly,DEM,280733,True
Virginia’s 11th district,Manga Anantatmula,REP,111380,False
Washington’s 1st district,Suzan DelBene,DEM,249417,True
Washington’s 1st district,Jeffrey Beeler,REP,175871,False
Washington’s 2nd district,Rick Larsen,DEM,254835,True
Washington’s 2nd district,Timothy Hazelo,REP,148067,False
Washington’s 3rd district,Jaime Herrera Beutler,REP,235072,True
Washington’s 3rd district,Carolyn Long,DEM,180972,False
Washington’s 4th district,Dan Newhouse,REP,201503,True
Washington’s 4th district,Douglas McKinley,DEM,102248,False
Washington’s 4th district, Write-ins,WRI,0,False
Washington’s 5th district,Cathy McMorris Rodgers,REP,246950,True
Washington’s 5th district,Dave Wilson,DEM,155298,False
Washington’s 6th district,Derek Kilmer,DEM,247101,True
Washington’s 6th district,Elizabeth Kreiselmaier,REP,168419,False
Washington’s 7th district,Pramila Jayapal,DEM,386803,True
Washington’s 7th district,Craig Keller,REP,78135,False
Washington’s 8th district,Kim Schrier,DEM,212401,True
Washington’s 8th district,Jesse Jensen,REP,197838,False
Washington’s 8th district, Write-ins,WRI,41,False
Washington’s 9th district,Adam Smith,DEM,258540,True
Washington’s 9th district,Doug Basler,REP,89572,False
Washington’s 10th district,Marilyn Strickland,DEM,167371,True
Washington’s 10th district,Beth Doglio,DEM,120581,False
Washington’s 10th district, Write-ins,WRI,1157,False
West Virginia’s 1st district,David McKinley,REP,180260,True
West Virginia’s 1st district,Natalie Cline,DEM,81059,False
West Virginia’s 1st district, Write-ins,WRI,24,False
West Virginia’s 2nd district,Alex Mooney,REP,172195,True
West Virginia’s 2nd district,Cathy Kunkel,DEM,100799,False
West Virginia’s 3rd district,Carol Miller,REP,161501,True
West Virginia’s 3rd district,Hilary Turner,DEM,64898,False
West Virginia’s 3rd district, Write-ins,WRI,27,False
Wisconsin’s 1st district,Bryan Steil,REP,238271,True
Wisconsin’s 1st district,Roger Polack,DEM,163170,False
Wisconsin’s 2nd district,Mark Pocan,DEM,318523,True
Wisconsin’s 2nd district,Peter Theron,REP,138306,False
Wisconsin’s 3rd district,Ron Kind,DEM,199885,True
Wisconsin’s 3rd district,Derrick Van Orden,REP,189619,False
Wisconsin’s 4th district,Gwen Moore,DEM,232668,True
Wisconsin’s 4th district,Tim Rogers,REP,70769,False
Wisconsin’s 4th district,Robert Raymond,IND,7911,False
Wisconsin’s 5th district,Scott Fitzgerald,REP,265434,True
Wisconsin’s 5th district,Tom Palzewicz,DEM,175902,False
Wisconsin’s 6th district,Glenn Grothman,REP,238874,True
Wisconsin’s 6th district,Jessica King,DEM,164239,False
Wisconsin’s 6th district, Write-ins,WRI,220,False
Wisconsin’s 7th district,Tom Tiffany,REP,252046,True
Wisconsin’s 7th district,Tricia Zunker,DEM,162741,False
Wisconsin’s 8th district,Mike Gallagher,REP,268173,True
Wisconsin’s 8th district,Amanda Stuck,DEM,149558,False
Wyoming at large,Liz Cheney,REP,185732,True
Wyoming at large,Lynnette Grey Bull,DEM,66576,False
Wyoming at large,Richard Brubaker,LIB,10154,False
Wyoming at large,Jeffrey Haggit,CST,7905,False
Alabama’s 1st district,Jerry Carl,REP,204399,True
Alabama’s 1st district,James Averhart,DEM,96363,False
Alabama’s 2nd district,Barry Moore,REP,197329,True
Alabama’s 2nd district,Phyllis Harvey-Hall,DEM,104592,False
Alabama’s 2nd district, Write-ins,WRI,286,False
